Country,Years,Overnights visitors (tourists) (Thousands),Same-day visitors (excursionists) (Thousands),Total departures (Thousands)
ALBANIA,2001,,,955.0
ALBANIA,2002,,,1303.0
ALBANIA,2003,,,1350.0
ALBANIA,2004,,,1694.0
ALBANIA,2005,,,2097.0
ALBANIA,2006,,,2616.0
ALBANIA,2007,,,2979.0
ALBANIA,2008,,,3716.0
ALBANIA,2009,,,3404.0
ALBANIA,2010,,,3443.0
ALBANIA,2011,,,4120.0
ALBANIA,2012,,,3959.0
ALBANIA,2013,,,3928.0
ALBANIA,2014,,,4146.0
ALBANIA,2015,,,4504.0
ALBANIA,2016,,,4852.0
ALBANIA,2017,,,5186.0
ALBANIA,2018,,,5415.0
ALBANIA,2019,,,5922.0
ALBANIA,2020,,,2907.0
ALBANIA,2021,,,4191.0
ALBANIA,2022,,,5882.0
ALGERIA,2000,1006.0,,
ALGERIA,2001,1190.0,,
ALGERIA,2002,1257.0,,
ALGERIA,2003,1254.0,,
ALGERIA,2004,1417.0,,
ALGERIA,2005,1513.0,,
ALGERIA,2006,1349.0,,
ALGERIA,2007,1499.0,,
ALGERIA,2008,1539.0,,
ALGERIA,2009,1677.0,,
ALGERIA,2010,1757.0,,
ALGERIA,2011,1715.0,,
ALGERIA,2012,1911.0,,
ALGERIA,2013,2136.0,,
ALGERIA,2014,2839.0,,
ALGERIA,2015,3638.0,,
ALGERIA,2016,4530.0,,
ALGERIA,2017,5058.0,,
ALGERIA,2018,5610.0,,
ALGERIA,2019,5732.0,,
ALGERIA,2020,1386.0,,
ALGERIA,2021,344.0,,
ALGERIA,2022,2865.0,,
ARGENTINA,2000,4953.0,,
ARGENTINA,2001,4762.0,,
ARGENTINA,2002,3008.0,,
ARGENTINA,2003,3088.0,,
ARGENTINA,2004,3904.0,532.0,4436.0
ARGENTINA,2005,3894.0,587.0,4481.0
ARGENTINA,2006,3892.0,641.0,4533.0
ARGENTINA,2007,4167.0,761.0,4928.0
ARGENTINA,2008,4614.0,811.0,5425.0
ARGENTINA,2009,4981.0,812.0,5793.0
ARGENTINA,2010,5307.0,776.0,6083.0
ARGENTINA,2011,6686.0,990.0,7676.0
ARGENTINA,2012,7266.0,1029.0,8295.0
ARGENTINA,2013,6746.0,3098.0,9844.0
ARGENTINA,2014,6517.0,3505.0,10022.0
ARGENTINA,2015,7807.0,5352.0,13159.0
ARGENTINA,2016,10417.0,8228.0,18645.0
ARGENTINA,2017,12213.0,9370.0,21583.0
ARGENTINA,2018,11130.0,7281.0,18411.0
ARGENTINA,2019,9114.0,6238.0,15352.0
ARGENTINA,2020,2841.0,1246.0,4087.0
ARGENTINA,2021,833.0,241.0,1074.0
ARGENTINA,2022,5142.0,2749.0,7891.0
ARMENIA,2000,111.0,,
ARMENIA,2001,110.0,,
ARMENIA,2002,131.0,,
ARMENIA,2003,169.0,,
ARMENIA,2004,221.0,,
ARMENIA,2005,269.0,,
ARMENIA,2006,329.0,,
ARMENIA,2007,468.0,,
ARMENIA,2008,516.0,,
ARMENIA,2009,526.0,,
ARMENIA,2010,563.0,,
ARMENIA,2011,715.0,,
ARMENIA,2012,965.0,,
ARMENIA,2013,1083.0,,
ARMENIA,2014,1198.0,,
ARMENIA,2015,1187.0,,
ARMENIA,2016,1263.0,,
ARMENIA,2017,1482.0,,
ARMENIA,2018,1623.0,,
ARMENIA,2019,1868.0,,
ARMENIA,2020,346.0,,
ARMENIA,2021,423.0,,
ARMENIA,2022,1139.0,,
AUSTRALIA,2000,,,3498.0
AUSTRALIA,2001,,,3443.0
AUSTRALIA,2002,,,3461.0
AUSTRALIA,2003,,,3388.0
AUSTRALIA,2004,,,4369.0
AUSTRALIA,2005,,,4756.0
AUSTRALIA,2006,,,4941.0
AUSTRALIA,2007,,,5462.0
AUSTRALIA,2008,,,5808.0
AUSTRALIA,2009,,,6276.0
AUSTRALIA,2010,,,7103.0
AUSTRALIA,2011,,,7788.0
AUSTRALIA,2012,,,8212.0
AUSTRALIA,2013,,,9052.0
AUSTRALIA,2014,,,9480.0
AUSTRALIA,2015,,,9810.0
AUSTRALIA,2016,,,10390.0
AUSTRALIA,2017,,,10932.0
AUSTRALIA,2018,,,11403.0
AUSTRALIA,2019,,,11624.0
AUSTRALIA,2020,,,2832.0
AUSTRALIA,2021,,,301.0
AUSTRALIA,2022,,,5226.0
AUSTRIA,2000,7528.0,,
AUSTRIA,2001,8350.0,,
AUSTRIA,2002,8266.0,,
AUSTRIA,2003,8384.0,,
AUSTRIA,2004,8371.0,,
AUSTRIA,2005,8206.0,,
AUSTRIA,2006,10042.0,,
AUSTRIA,2007,9876.0,,
AUSTRIA,2008,9677.0,,
AUSTRIA,2009,10121.0,,
AUSTRIA,2010,9882.0,,
AUSTRIA,2011,9874.0,,
AUSTRIA,2012,10960.0,,
AUSTRIA,2013,10671.0,,
AUSTRIA,2014,10994.0,,
AUSTRIA,2015,10628.0,,
AUSTRIA,2016,11534.0,,
AUSTRIA,2017,11491.0,,
AUSTRIA,2018,11043.0,,
AUSTRIA,2019,11902.0,,
AUSTRIA,2020,3964.0,,
AUSTRIA,2021,7522.0,,
AUSTRIA,2022,11871.0,,
AZERBAIJAN,2000,,,1326.0
AZERBAIJAN,2001,,,1130.0
AZERBAIJAN,2002,,,1141.0
AZERBAIJAN,2003,,,1475.0
AZERBAIJAN,2004,,,1473.0
AZERBAIJAN,2005,887.0,943.0,1830.0
AZERBAIJAN,2006,890.0,946.0,1836.0
AZERBAIJAN,2007,791.0,840.0,1631.0
AZERBAIJAN,2008,1048.0,1114.0,2162.0
AZERBAIJAN,2009,1145.0,1217.0,2363.0
AZERBAIJAN,2010,1820.0,1356.0,3176.0
AZERBAIJAN,2011,2308.0,1242.0,3550.0
AZERBAIJAN,2012,2829.0,1045.0,3874.0
AZERBAIJAN,2013,3307.0,978.0,4285.0
AZERBAIJAN,2014,3319.0,925.0,4244.0
AZERBAIJAN,2015,3256.0,840.0,4096.0
AZERBAIJAN,2016,3592.0,690.0,4282.0
AZERBAIJAN,2017,3447.0,661.5,4109.0
AZERBAIJAN,2018,3919.0,989.0,4908.0
AZERBAIJAN,2019,4579.0,989.0,5568.0
AZERBAIJAN,2020,,,1165.0
AZERBAIJAN,2021,,,975.0
AZERBAIJAN,2022,1345.0,145.0,1490.0
BAHRAIN,2015,3676.0,1064.0,4741.0
BAHRAIN,2016,1842.0,1451.0,3293.0
BAHRAIN,2017,1744.0,1392.0,3136.0
BAHRAIN,2018,1520.0,1348.0,2868.0
BAHRAIN,2019,1550.0,1400.0,2950.0
BAHRAIN,2020,464.0,288.0,752.0
BANGLADESH,2000,1128.0,,
BANGLADESH,2001,1075.0,,
BANGLADESH,2002,1158.0,,
BANGLADESH,2003,1414.0,,
BANGLADESH,2004,1565.0,,
BANGLADESH,2005,1767.0,,
BANGLADESH,2006,1819.0,,
BANGLADESH,2007,2327.0,,
BANGLADESH,2008,875.0,,
BANGLADESH,2009,2254.0,,
BANGLADESH,2010,1913.0,,
BANGLADESH,2011,2127.0,,
BANGLADESH,2012,2273.0,,
BANGLADESH,2013,1460.0,,
BANGLADESH,2019,1564.0,,
BELARUS,2000,1289.0,,4747.0
BELARUS,2001,1387.0,,4008.0
BELARUS,2002,1436.0,,6160.0
BELARUS,2003,1108.0,,6518.0
BELARUS,2004,515.0,,6924.0
BELARUS,2005,572.0,,6596.0
BELARUS,2006,525.0,,6811.0
BELARUS,2007,517.0,,7512.0
BELARUS,2008,380.0,,6323.0
BELARUS,2009,316.0,,6440.0
BELARUS,2010,415.0,,7464.0
BELARUS,2011,320.0,,7542.0
BELARUS,2012,493.0,,8427.0
BELARUS,2013,708.0,,8841.0
BELARUS,2014,741.0,,7246.0
BELARUS,2015,671.0,68.0,6972.0
BELARUS,2016,468.0,28.0,8340.0
BELARUS,2017,706.0,21.0,9209.0
BELARUS,2018,836.0,15.0,9326.0
BELARUS,2019,963.0,20.0,9221.0
BELARUS,2020,254.0,5.0,2810.0
BELARUS,2021,477.0,2.0,2616.0
BELARUS,2022,344.0,5.0,3869.0
BELGIUM,2000,7932.0,,
BELGIUM,2001,6570.0,,
BELGIUM,2002,6773.0,,
BELGIUM,2003,7268.0,,
BELGIUM,2004,8783.0,,
BELGIUM,2005,9327.0,,
BELGIUM,2006,7852.0,,
BELGIUM,2007,8371.0,,
BELGIUM,2008,8887.0,,
BELGIUM,2009,8775.0,,
BELGIUM,2010,8801.0,,
BELGIUM,2011,9727.0,,
BELGIUM,2012,9576.0,,
BELGIUM,2013,10803.0,,
BELGIUM,2014,10991.0,,
BELGIUM,2015,10835.0,,
BELGIUM,2016,13372.0,,
BELGIUM,2017,14628.0,4700.0,19328.0
BELGIUM,2018,15627.0,5500.0,21127.0
BELGIUM,2019,17321.0,6400.0,23721.0
BELGIUM,2020,7108.0,3100.0,10208.0
BELGIUM,2021,8593.0,2297.0,10890.0
BELGIUM,2022,16005.0,4423.0,20428.0
BERMUDA,2001,140.0,,
BERMUDA,2002,145.0,,
BERMUDA,2003,141.0,,
BERMUDA,2004,156.0,,
BERMUDA,2005,161.0,,
BERMUDA,2006,170.0,,
BERMUDA,2007,181.0,,
BERMUDA,2008,192.0,,
BHUTAN,2019,41.0,31.0,72.0
"BOLIVIA, PLURINATIONAL STATE OF",2000,201.0,,
"BOLIVIA, PLURINATIONAL STATE OF",2001,222.0,,
"BOLIVIA, PLURINATIONAL STATE OF",2002,217.0,,
"BOLIVIA, PLURINATIONAL STATE OF",2003,304.0,,
"BOLIVIA, PLURINATIONAL STATE OF",2004,346.0,,
"BOLIVIA, PLURINATIONAL STATE OF",2005,386.0,,
"BOLIVIA, PLURINATIONAL STATE OF",2006,472.0,,
"BOLIVIA, PLURINATIONAL STATE OF",2007,526.0,,
"BOLIVIA, PLURINATIONAL STATE OF",2008,544.0,,
"BOLIVIA, PLURINATIONAL STATE OF",2009,518.0,,
"BOLIVIA, PLURINATIONAL STATE OF",2010,604.0,,
"BOLIVIA, PLURINATIONAL STATE OF",2011,775.0,,
"BOLIVIA, PLURINATIONAL STATE OF",2012,788.0,,
"BOLIVIA, PLURINATIONAL STATE OF",2013,837.0,,
"BOLIVIA, PLURINATIONAL STATE OF",2014,932.0,,
"BOLIVIA, PLURINATIONAL STATE OF",2015,965.0,,
"BOLIVIA, PLURINATIONAL STATE OF",2016,940.0,,
"BOLIVIA, PLURINATIONAL STATE OF",2017,997.0,,
"BOLIVIA, PLURINATIONAL STATE OF",2018,1060.0,,
"BOLIVIA, PLURINATIONAL STATE OF",2019,1160.0,,
"BOLIVIA, PLURINATIONAL STATE OF",2020,432.0,,
"BOLIVIA, PLURINATIONAL STATE OF",2021,376.0,,
"BOLIVIA, PLURINATIONAL STATE OF",2022,821.0,,
BRAZIL,2000,3228.0,,
BRAZIL,2001,2674.0,,
BRAZIL,2002,2338.0,,
BRAZIL,2003,3229.0,,
BRAZIL,2004,2968.0,,
BRAZIL,2005,3364.0,,
BRAZIL,2006,3886.0,,
BRAZIL,2007,4662.0,,
BRAZIL,2008,5238.0,,
